"Station.name","Latitude","Longitude","Array","Section","Type"
"AIMS Special Management 1",-19.28,147.06,"IMOS Coastal Array Queensland","IMOS Coastal Array Queensland","Hydrophone"
"Barney Point Wharf (GPC) (Gladstone)",-23.84,151.27,"IMOS Coastal Array Queensland","IMOS Coastal Array Queensland","Hydrophone"
"Bucasia SCP",-21.03,149.18,"IMOS Coastal Array Queensland","IMOS Coastal Array Queensland","Hydrophone"
"Bundaberg SCP",-24.82,152.47,"IMOS Coastal Array Queensland","IMOS Coastal Array Queensland","Hydrophone"
"Cape Hilsborough",-20.93,149.06,"Qld Array - Mackay","Qld Array - Mackay","Hydrophone"
"Cherubs Cave 2017",-27.13,153.48,"Moreton Island - Grey Nurse Shark Installation","Moreton Island - Grey Nurse Shark Installation","Hydrophone"
"CHS 1",-30.21,153.17,"IMOS-ATF Coffs Harbour line","IMOS-ATF Coffs Harbour line","Hydrophone"
"CHS 10",-30.21,153.25,"IMOS-ATF Coffs Harbour line","IMOS-ATF Coffs Harbour line","Hydrophone"
"CHS 2",-30.21,153.18,"IMOS-ATF Coffs Harbour line","IMOS-ATF Coffs Harbour line","Hydrophone"
"CHS 3",-30.21,153.19,"IMOS-ATF Coffs Harbour line","IMOS-ATF Coffs Harbour line","Hydrophone"
"CHS 4",-30.21,153.2,"IMOS-ATF Coffs Harbour line","IMOS-ATF Coffs Harbour line","Hydrophone"
"CHS 5",-30.21,153.21,"IMOS-ATF Coffs Harbour line","IMOS-ATF Coffs Harbour line","Hydrophone"
"CHS 7",-30.21,153.22,"IMOS-ATF Coffs Harbour line","IMOS-ATF Coffs Harbour line","Hydrophone"
"CHS 8",-30.21,153.23,"IMOS-ATF Coffs Harbour line","IMOS-ATF Coffs Harbour line","Hydrophone"
"CHS 9",-30.21,153.24,"IMOS-ATF Coffs Harbour line","IMOS-ATF Coffs Harbour line","Hydrophone"
"CL1",-29.39,153.33,"Clarence Array","Clarence Array","Hydrophone"
"CL2",-29.4,153.32,"Clarence Array","Clarence Array","Hydrophone"
"CL4",-29.38,153.3,"Clarence Array","Clarence Array","Hydrophone"
"CL6",-34.37,150.93,"Clarence Array","Clarence Array","Hydrophone"
"CLA1",-29.42,153.36,"Clarence Array","Clarence Array","Hydrophone"
"CLA2",-29.43,153.35,"Clarence Array","Clarence Array","Hydrophone"
"Coolangatta SCP",-28.15,153.53,"IMOS Coastal Array Queensland","IMOS Coastal Array Queensland","Hydrophone"
"FAD 1 (Fraser Island)",-24.81,153.1,"IMOS / AIMS / QDAF FADs","IMOS / AIMS / QDAF FADs","Hydrophone"
"HER 24",-23.44,151.98,"IMOS-ATF Heron Island","IMOS-ATF Heron Island","Hydrophone"
"Kalang 1",-30.48,153.03,"Kalang-Bellinger Array","Kalang-Bellinger Array","Hydrophone"
"Kalang 2",-30.48,153.02,"Kalang-Bellinger Array","Kalang-Bellinger Array","Hydrophone"
"Kalang 3",-30.49,153.03,"Kalang-Bellinger Array","Kalang-Bellinger Array","Hydrophone"
"Kalang 4",-30.49,153.01,"Kalang-Bellinger Array","Kalang-Bellinger Array","Hydrophone"
"OT 3",-23.48,152.08,"IMOS-ATF One Tree Island","IMOS-ATF One Tree Island","Hydrophone"
"PA_Turtle Cave M1",-27.39,153.55,"Flat Rock - Grey Nurse Shark Installation","Flat Rock - Grey Nurse Shark Installation","Hydrophone"
"Palm Beach SCP",-28.1,153.49,"IMOS Coastal Array Queensland","IMOS Coastal Array Queensland","Hydrophone"
"Peel Island",-27.47,153.35,"IMOS Coastal Array Queensland","IMOS Coastal Array Queensland","Hydrophone"
"Repulse Bay",-20.51,148.82,"Whitsundays","Whitsundays","Hydrophone"
"Round Rock",-25.93,153.19,"Wolf Rock - Grey Nurse Shark Installation","Wolf Rock - Grey Nurse Shark Installation","Hydrophone"
"Scott's Point",-27.28,153.11,"IMOS Coastal Array Queensland","IMOS Coastal Array Queensland","Hydrophone"
"Shute Harbour",-20.31,148.8,"Whitsundays","Whitsundays","Hydrophone"
"SI 6",-27.42,153.58,"IMOS-ATF Stradbroke Island Line","IMOS-ATF Stradbroke Island Line","Hydrophone"
"South Trees (Gladstone)",-23.85,151.32,"IMOS Coastal Array Queensland","IMOS Coastal Array Queensland","Hydrophone"
"SRL1",-32.45,152.55,"IMOS-ATF Seal Rocks Line","IMOS-ATF Seal Rocks Line","Hydrophone"
"ST09 WR",-25.91,153.2,"Wolf Rock - Grey Nurse Shark Installation","Wolf Rock - Grey Nurse Shark Installation","Hydrophone"
"ST11 Shark Ally M3",-27.39,153.55,"Flat Rock - Grey Nurse Shark Installation","Flat Rock - Grey Nurse Shark Installation","Hydrophone"
"Tipplers Passage",-27.82,153.41,"SEQ Array","SEQ Array","Hydrophone"
"WR ML",-25.91,153.2,"Wolf Rock - Grey Nurse Shark Installation","Wolf Rock - Grey Nurse Shark Installation","Hydrophone"
"-30.45_153.01",-30.45,153.01,"Kalang-Bellinger Array","Kalang-Bellinger Array","Release"
"-30.45_153.03",-30.45,153.03,"Kalang-Bellinger Array","Kalang-Bellinger Array","Release"
"-30.46_152.99",-30.46,152.99,"Kalang-Bellinger Array","Kalang-Bellinger Array","Release"
"-30.49_153.02",-30.49,153.02,"Kalang-Bellinger Array","Kalang-Bellinger Array","Release"
"-30.49_153.03",-30.49,153.03,"Kalang-Bellinger Array","Kalang-Bellinger Array","Release"
