VEMCO DATA LOG,1.0.0,vdati-2.7.2-20201124-66707c-release
RECORD TYPE,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD,FIELD
ATTITUDE_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Tilt (deg)
BATTERY_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Battery Position,Battery Type,Battery Serial Number,Battery Voltage (V),Battery Remaining (%)
CFG_CHANNEL_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Index,Frequency (kHz),Decoder,PPM Map ID,HR Coding ID
CFG_STATION_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Station Name,Latitude (deg),Longitude (deg)
CFG_STUDY_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Description
CFG_TRANSMITTER_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Transmission Type,Full ID,ID,Power Level,Min Delay (s),Max Delay (s)
CLOCK_REF_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,External Time (UTC),External Difference (s),Source
CLOCK_SET_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Prior Device Time (UTC),Prior Difference (s),Source
DATA_ERROR_DESC,Type,Error,Page,Offset,Description
DATA_SOURCE_FILE_DESC,File Name,UUID,Type,Size,State
DEPTH_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Depth (m)
DEPTH_STATS_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Depth Min (m),Depth Max (m),Depth Mean (m),Sample Count,Accumulation Period (s)
DET_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Detection Type,Full ID,ID,Signal Strength (dB),Noise (dB),Quality Score,Decoder,Sensor Value,Sensor Unit
DET_FILTER_DESC,Filter Name,Details,Rejected Detections
DIAG_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Ambient Temperature (deg C),Noise Mean (mV),Tilt (deg),Depth (m),PPM Pings,PPM Detections
DIAG_FAST_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Ambient Temperature (deg C),Noise (mV),Tilt (deg),Depth (m)
EVENT_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Event Type,Event Details
EVENT_FAULT_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Fault Importance,Fault Code,Fault Description
EVENT_INIT_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Prior Device Time (UTC),External Time Zone,Firmware Version
EVENT_OFFLOAD_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,External Time (UTC),External Time Zone,HR Total Accepted Detections,PPM Total Accepted Detections,Memory Remaining (%),Battery Remaining (%),Original File
HEALTH_VR2AR_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Memory Remaining (%),RTC Time
TEMP_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Ambient (deg C),Internal (deg C)
TEMP_STATS_DESC,Device Time (UTC),Time,Time Offset (h),Time Correction (s),Model,Serial Number,Ambient Min (deg C),Ambient Max (deg C),Ambient Mean (deg C),Sample Count,Accumulation Period (s)
DATA_SOURCE_FILE,VR2AR_545593_20200714_1.vrl,8a40aad5-66d4-f34f-8e7b-4a58913bfdb3,com.vemco.file.vrl.0207.ff02.ff02/5.1.1,569508,ORIGINAL
EVENT_INIT,2020-02-20 00:32:16,2020-02-20 00:32:16,,0,VR2AR-69,545593,2020-02-20 00:30:19,UTC+11:00,5.1.1
CLOCK_REF,2020-02-20 00:32:16,2020-02-20 00:32:16,,0,VR2AR-69,545593,2020-02-20 00:32:16,0,INITIALIZATION
CFG_CHANNEL,2020-02-20 00:32:16,2020-02-20 00:32:16,,0,VR2AR-69,545593,0,69,D1,MAP-114,
CFG_STUDY,2020-02-20 00:32:16,2020-02-20 00:32:16,,0,VR2AR-69,545593,IMOS ATF
CFG_STATION,2020-02-20 00:32:16,2020-02-20 00:32:16,,0,VR2AR-69,545593,SG 4,,
CFG_TRANSMITTER,2020-02-20 00:32:16,2020-02-20 00:32:16,,0,VR2AR-69,545593,PPM,A69-1601-60057,60057,VERY_HIGH,540,660
DET,2020-02-20 00:32:19.5922,2020-02-20 00:32:19.592157,,-0.000042704,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 00:43:15.5402,2020-02-20 00:43:15.532359,,-0.007840504,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 00:54:04.9362,2020-02-20 00:54:04.920639,,-0.015560415,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DIAG,2020-02-20 01:00:00,2020-02-20 00:59:59.980218,,-0.019781354,VR2AR-69,545593,23.567,226,20,0,22,3
TEMP,2020-02-20 01:00:00,2020-02-20 00:59:59.980218,,-0.019781354,VR2AR-69,545593,23.567,
DEPTH,2020-02-20 01:00:00,2020-02-20 00:59:59.980218,,-0.019781354,VR2AR-69,545593,0
BATTERY,2020-02-20 01:00:00,2020-02-20 00:59:59.980218,,-0.019781354,VR2AR-69,545593,PRIMARY,,,3.6129,
DET,2020-02-20 01:04:41.2282,2020-02-20 01:04:41.205075,,-0.023124547,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 01:14:51.3121,2020-02-20 01:14:51.281722,,-0.030377123,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 01:24:08.9801,2020-02-20 01:24:08.943093,,-0.037006586,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 01:33:41.6241,2020-02-20 01:33:41.580285,,-0.043814082,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 01:43:43.7521,2020-02-20 01:43:43.701127,,-0.050972079,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 01:54:44.8481,2020-02-20 01:54:44.789268,,-0.058831078,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DIAG,2020-02-20 02:00:00,2020-02-20 01:59:59.937422,,-0.062577551,VR2AR-69,545593,22.986,236,20,0,48,6
TEMP,2020-02-20 02:00:00,2020-02-20 01:59:59.937422,,-0.062577551,VR2AR-69,545593,22.986,
DEPTH,2020-02-20 02:00:00,2020-02-20 01:59:59.937422,,-0.062577551,VR2AR-69,545593,0
BATTERY,2020-02-20 02:00:00,2020-02-20 01:59:59.937422,,-0.062577551,VR2AR-69,545593,PRIMARY,,,3.6042,
DET,2020-02-20 02:05:44.5401,2020-02-20 02:05:44.473426,,-0.066673386,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 02:16:40.9561,2020-02-20 02:16:40.881623,,-0.074476749,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 02:27:30.8201,2020-02-20 02:27:30.737897,,-0.082202223,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 02:38:07.5801,2020-02-20 02:38:07.490328,,-0.089771920,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 02:48:18.1321,2020-02-20 02:48:18.035069,,-0.097030060,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 02:57:36.7361,2020-02-20 02:57:36.632429,,-0.103670650,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DIAG,2020-02-20 03:00:00,2020-02-20 02:59:59.894626,,-0.105373748,VR2AR-69,545593,22.531,239,20,0,48,6
TEMP,2020-02-20 03:00:00,2020-02-20 02:59:59.894626,,-0.105373748,VR2AR-69,545593,22.531,
DEPTH,2020-02-20 03:00:00,2020-02-20 02:59:59.894626,,-0.105373748,VR2AR-69,545593,0
BATTERY,2020-02-20 03:00:00,2020-02-20 02:59:59.894626,,-0.105373748,VR2AR-69,545593,PRIMARY,,,3.6071,
DET,2020-02-20 03:07:11.2521,2020-02-20 03:07:11.141599,,-0.110500400,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 03:17:17.1241,2020-02-20 03:17:17.006397,,-0.117702905,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 03:26:26.3681,2020-02-20 03:26:26.243867,,-0.124232226,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 03:35:41.6961,2020-02-20 03:35:41.565266,,-0.130833872,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 03:45:09.1921,2020-02-20 03:45:09.054519,,-0.137580169,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DET,2020-02-20 03:55:01.0241,2020-02-20 03:55:00.879484,,-0.144615769,VR2AR-69,545593,PPM,A69-1601-60057,60057,,,,,,
DIAG,2020-02-20 04:00:00,2020-02-20 03:59:59.85183,,-0.148169944,VR2AR-69,545593,22.316,245,31,0,48,6
TEMP,2020-02-20 04:00:00,2020-02-20 03:59:59.85183,,-0.148169944,VR2AR-69,545593,22.316,
