receiver_deployment_id,receiver_name,purchasing_organisation,receiver_project_name,receiver_status,receiver_deployment_datetime,installation_name,station_name,receiver_deployment_longitude,receiver_deployment_latitude,depth_below_surface,receiver_recovery_datetime,receiver_recovery_longitude,receiver_recovery_latitude,active
259248748,VR2Tx-483961,IMOS Animal Tracking Facility,IMOS-ATF Heron Island,DEPLOYED,2022-05-28 01:47:00,IMOS-ATF Heron Island,Heron E1,151.99969,-23.43712,8.0,,,,YES
259248751,VR2Tx-484045,IMOS Animal Tracking Facility,IMOS-ATF Heron Island,DEPLOYED,2022-05-28 01:14:00,IMOS-ATF Heron Island,S Heron,151.9781,-23.47236,15.0,,,,YES
259248733,VR2Tx-484028,IMOS Animal Tracking Facility,IMOS-ATF Heron Island,DEPLOYED,2022-05-28 00:23:00,IMOS-ATF Heron Island,HER 15,151.94704,-23.47091,16.0,,,,YES
259248742,VR2Tx-484029,IMOS Animal Tracking Facility,IMOS-ATF Heron Island,DEPLOYED,2022-05-26 03:34:00,IMOS-ATF Heron Island,HER 18,151.91231,-23.44754,15.0,,,,YES
259248745,VR2Tx-484035,IMOS Animal Tracking Facility,IMOS-ATF Heron Island,DEPLOYED,2022-05-26 02:49:00,IMOS-ATF Heron Island,HER 19,151.89972,-23.43958,9.5,,,,YES
259248739,VR2Tx-484022,IMOS Animal Tracking Facility,IMOS-ATF Heron Island,DEPLOYED,2022-05-26 02:26:00,IMOS-ATF Heron Island,HER 21,151.92682,-23.43282,19.5,,,,YES
259248736,VR2Tx-484782,IMOS Animal Tracking Facility,IMOS-ATF Heron Island,DEPLOYED,2022-05-25 15:33:00,IMOS-ATF Heron Island,HER 24,151.9807,-23.43666,10.8,,,,YES
185835578,VR2Tx-484039,IMOS Animal Tracking Facility,IMOS-ATF Heron Island,RECOVERED,2021-02-27 03:29:00,IMOS-ATF Heron Island,HER 15,151.94704,-23.47091,16.0,2022-05-28 00:22:00,151.94704,-23.47091,NO
185859543,VR2W-114688,Ocean Tracking Network,IMOS-ATF Heron Island,RECOVERED,2021-02-27 01:36:00,IMOS-ATF Heron Island,S Heron,151.97821,-23.47238,15.0,2022-05-28 01:13:00,151.9781,-23.47236,NO
185854584,VR2Tx-484014,IMOS Animal Tracking Facility,IMOS-ATF Heron Island,RECOVERED,2021-02-27 00:36:00,IMOS-ATF Heron Island,Heron E1,151.99969,-23.43712,8.0,2022-05-28 01:46:00,151.99969,-23.43712,NO
