transmitter_id,transmitter_deployment_id,measurement_type,measurement_value,measurement_unit,comments
A69-9001-20473,130722688,TOTAL LENGTH,175.0,cm,
A69-9001-18829,130722974,TOTAL LENGTH,168.0,cm,
A69-9001-18784,132795164,TOTAL LENGTH,158.0,cm,
A69-9001-18767,130722980,TOTAL LENGTH,160.0,cm,
A69-9001-18757,132737795,LENGTH,153.0,cm,
A69-9001-18755,132737788,LENGTH,151.0,cm,
A69-9001-18753,132730867,LENGTH,158.0,cm,
A69-9001-14270,132795217,TOTAL LENGTH,178.0,cm,
A69-9001-14269,132795394,TOTAL LENGTH,158.0,cm,
A69-9001-14263,132795380,TOTAL LENGTH,277.0,cm,
A69-9001-14230,132795182,TOTAL LENGTH,155.0,cm,
A69-9001-12950,132818171,TOTAL LENGTH,254.0,cm,
A69-9001-12551,135809298,TOTAL LENGTH,288.0,cm,
A69-9001-12279,135286511,TOTAL LENGTH,180.0,cm,
