"Start.time","Stop.time","M_n","Area.M.50","Area.M.95","F_n","Area.F.50","Area.F.95","Overlap.50.tot","Overlap.50.freq","Overlap.95.tot","Overlap.95.freq"
"2020-02-01 00:00:00","2020-02-01 23:59:59",0,NA,NA,1,109863.36,384575.04,NA,NA,NA,NA
"2020-02-02 00:00:00","2020-02-02 23:59:59",1,91428.48,323835.84,1,81838.08,291015.36,81838.08,1,291015.36,1
"2020-02-03 00:00:00","2020-02-03 23:59:59",1,105707.52,372214.08,1,102830.4,367205.76,102830.4,1,367205.76,1
"2020-02-04 00:00:00","2020-02-04 23:59:59",1,91641.6,328524.48,1,125953.92,423682.56,91641.6,1,328524.48,1
"2020-02-05 00:00:00","2020-02-05 23:59:59",1,94944.96,341844.48,2,196922.88,705214.08,94944.96,1,341844.48,1
"2020-02-06 00:00:00","2020-02-06 23:59:59",1,90362.88,323516.16,2,209283.84,742403.52,90362.88,1,323516.16,1
"2020-02-07 00:00:00","2020-02-07 23:59:59",1,83223.36,296769.6,2,419952.96,1817380.8,22590.72,0.27,296769.6,1
"2020-02-08 00:00:00","2020-02-08 23:59:59",1,190955.52,1012639.68,2,483249.6,1659245.76,159626.88,0.84,916416,0.9
"2020-02-09 00:00:00","2020-02-09 23:59:59",1,97822.08,431568,2,220579.2,908850.24,97822.08,1,413665.92,0.96
"2020-02-10 00:00:00","2020-02-10 23:59:59",1,99420.48,351754.56,2,195217.92,697648.32,99420.48,1,351754.56,1
"2020-02-11 00:00:00","2020-02-11 23:59:59",1,91108.8,326180.16,2,271621.44,942096.96,91108.8,1,320958.72,0.98
"2020-02-12 00:00:00","2020-02-12 23:59:59",1,96649.92,353459.52,2,227292.48,1129322.88,96649.92,1,353459.52,1
"2020-02-13 00:00:00","2020-02-13 23:59:59",1,103150.08,369550.08,3,251801.28,906612.48,88764.48,1,319786.56,1
"2020-02-19 00:00:00","2020-02-19 23:59:59",0,NA,NA,1,100166.4,353459.52,NA,NA,NA,NA
"2020-02-20 00:00:00","2020-02-20 23:59:59",0,NA,NA,1,96330.24,342377.28,NA,NA,NA,NA
"2020-02-21 00:00:00","2020-02-21 23:59:59",0,NA,NA,1,92067.84,332147.52,NA,NA,NA,NA
"2020-02-22 00:00:00","2020-02-22 23:59:59",0,NA,NA,1,79387.2,723968.64,NA,NA,NA,NA
"2020-02-23 00:00:00","2020-02-23 23:59:59",0,NA,NA,1,102191.04,535144.32,NA,NA,NA,NA
"2020-02-24 00:00:00","2020-02-24 23:59:59",0,NA,NA,1,81944.64,291015.36,NA,NA,NA,NA
"2020-02-25 00:00:00","2020-02-25 23:59:59",0,NA,NA,1,77256,274924.8,NA,NA,NA,NA
"2020-02-26 00:00:00","2020-02-26 23:59:59",0,NA,NA,1,137675.52,568177.92,NA,NA,NA,NA
"2020-02-27 00:00:00","2020-02-27 23:59:59",0,NA,NA,1,108371.52,382443.84,NA,NA,NA,NA
"2020-02-28 00:00:00","2020-02-28 23:59:59",0,NA,NA,1,109543.68,386173.44,NA,NA,NA,NA
"2020-02-29 00:00:00","2020-02-29 23:59:59",1,78428.16,280252.8,1,106133.76,376476.48,78428.16,1,280252.8,1
"2020-03-01 00:00:00","2020-03-01 23:59:59",1,246366.72,568391.04,1,122544,776609.28,66919.68,0.55,534185.28,0.94
"2020-03-02 00:00:00","2020-03-02 23:59:59",0,NA,NA,1,90149.76,320532.48,NA,NA,NA,NA
"2020-03-03 00:00:00","2020-03-03 23:59:59",0,NA,NA,1,116683.2,1099699.2,NA,NA,NA,NA
"2020-03-04 00:00:00","2020-03-04 23:59:59",0,NA,NA,2,82264.32,320212.8,NA,NA,NA,NA
"2020-03-05 00:00:00","2020-03-05 23:59:59",1,96436.8,343656,2,178274.88,891694.08,96436.8,1,343656,1
"2020-03-06 00:00:00","2020-03-06 23:59:59",1,132027.84,441478.08,1,90469.44,324581.76,90469.44,1,324581.76,1
"2020-03-09 00:00:00","2020-03-09 23:59:59",0,NA,NA,1,106240.32,368377.92,NA,NA,NA,NA
"2020-03-10 00:00:00","2020-03-10 23:59:59",0,NA,NA,1,108797.76,383189.76,NA,NA,NA,NA
"2020-03-11 00:00:00","2020-03-11 23:59:59",1,78108.48,277269.12,1,251801.28,789503.04,55944,0.72,277269.12,1
"2020-03-12 00:00:00","2020-03-12 23:59:59",0,NA,NA,1,247858.56,639999.36,NA,NA,NA,NA
"2020-03-13 00:00:00","2020-03-13 23:59:59",0,NA,NA,1,113912.64,395124.48,NA,NA,NA,NA
"2020-03-14 00:00:00","2020-03-14 23:59:59",0,NA,NA,1,106133.76,375837.12,NA,NA,NA,NA
"2020-03-15 00:00:00","2020-03-15 23:59:59",0,NA,NA,1,298581.12,1329868.8,NA,NA,NA,NA
"2020-03-17 00:00:00","2020-03-17 23:59:59",0,NA,NA,1,127658.88,425067.84,NA,NA,NA,NA
"2020-03-18 00:00:00","2020-03-18 23:59:59",0,NA,NA,1,104748.48,366353.28,NA,NA,NA,NA
"2020-03-20 00:00:00","2020-03-20 23:59:59",0,NA,NA,1,108264.96,380206.08,NA,NA,NA,NA
"2020-03-21 00:00:00","2020-03-21 23:59:59",0,NA,NA,2,57968.64,210669.12,NA,NA,NA,NA
"2020-03-25 00:00:00","2020-03-25 23:59:59",0,NA,NA,1,83329.92,295917.12,NA,NA,NA,NA
"2020-03-26 00:00:00","2020-03-26 23:59:59",0,NA,NA,1,79280.64,283129.92,NA,NA,NA,NA
"2020-03-30 00:00:00","2020-03-30 23:59:59",0,NA,NA,1,77682.24,332467.2,NA,NA,NA,NA
"2020-03-31 00:00:00","2020-03-31 23:59:59",0,NA,NA,1,57009.6,209177.28,NA,NA,NA,NA
