Receiver,Station.name,Start,Stop
112179,Kalang 2,2020-01-20 20:08:51,2020-01-22 20:08:51
113938,Kalang 3,2020-01-13 14:15:23,2020-01-22 23:00:00
115181,Kalang 1,2020-01-29 11:52:12,2020-06-29 11:52:12
115181,Kalang 2,2019-03-25 13:28:40,2019-05-04 13:28:40
115409,Kalang 3,2019-02-19 06:33:02,2019-05-27 06:33:02
115418,Kalang 3,2020-02-05 13:05:57,2020-05-01 13:05:57
115418,Kalang 4,2019-05-01 19:06:06,2019-05-03 19:06:06
119285,Kalang 4,2020-01-20 17:40:54,2020-01-22 17:40:54
121042,Kalang 1,2019-11-02 10:40:16,2020-02-01 10:40:16
121365,Kalang 1,2019-02-19 05:21:59,2019-07-15 05:21:59
121365,Kalang 4,2020-02-05 14:21:42,2020-05-01 14:21:42
