receiver_deployment_id,receiver_name,purchasing_organisation,receiver_project_name,receiver_status,receiver_deployment_datetime,installation_name,station_name,receiver_deployment_longitude,receiver_deployment_latitude,depth_below_surface,receiver_recovery_datetime,receiver_recovery_longitude,receiver_recovery_latitude,active
283138545,VR2W-102044,Australian Institute of Marine Science,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2022-08-31T20:15:00Z,IMOS Coastal Array Queensland,Magnetic Island SCP,146.86,-19.11,5,NA,NA,NA,YES
283138561,VR2W-103933,James Cook University,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2022-08-31T20:15:00Z,IMOS Coastal Array Queensland,Nelly Bay Magnetic Island SCP,146.85,-19.17,5,NA,NA,NA,YES
282576761,VR2W-103927,James Cook University,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2022-08-21T23:30:00Z,IMOS / AIMS / QDAF FADs,FAD7,153.33,-26.6,15,NA,NA,NA,YES
282576755,VR2W-103682,James Cook University,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2022-08-18T00:30:00Z,IMOS / AIMS / QDAF FADs,FAD4,153.63,-27.28,15,NA,NA,NA,YES
282576792,VR2W-109088,IMOS Animal Tracking Facility,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2022-08-15T03:00:00Z,IMOS / AIMS / QDAF FADs,FAD8,153.57,-26.54,15,NA,NA,NA,YES
282576765,VR2W-107568,The University of Queensland,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2022-08-14T23:30:00Z,IMOS / AIMS / QDAF FADs,FAD9,153.33,-26.26,15,NA,NA,NA,YES
282576758,VR2W-129974,Australian Institute of Marine Science,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2022-08-02T05:00:00Z,IMOS / AIMS / QDAF FADs,FAD6,153.53,-26.93,15,NA,NA,NA,YES
282576789,VR2W-106867,IMOS Animal Tracking Facility,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2022-08-01T21:00:00Z,IMOS / AIMS / QDAF FADs,FAD7C,153.35,-26.58,15,NA,NA,NA,YES
276392026,VR2W-107543,Griffith University,Southeast Queensland shark movement,DEPLOYED,2022-07-12T06:00:00Z,SEQ Array,Gold Coast WR 27 m,153.46,-27.96,27,NA,NA,NA,YES
282574802,VR2W-112761,Australian Institute of Marine Science,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2022-07-05T22:00:00Z,IMOS Coastal Array Queensland,Aquila Island MMP,149.58,-21.96,2,NA,NA,NA,YES
274708579,VR2W-102229,James Cook University,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2022-06-23T22:00:00Z,IMOS Coastal Array Queensland,Gladstone - Rodd's Peninsula,151.63,-23.97,6.5,NA,NA,NA,YES
274684635,VR2W-107812,Australian Institute of Marine Science,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2022-06-23T02:20:00Z,IMOS Coastal Array Queensland,North Keppel Island MMP,150.91,-23.09,5,NA,NA,NA,YES
274684638,VR2W-136065,Australian Institute of Marine Science,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2022-06-22T22:30:00Z,IMOS Coastal Array Queensland,Pelican Island MMP,150.87,-23.24,5,NA,NA,NA,YES
276672387,VR2W-114577,IMOS Animal Tracking Facility,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2022-06-22T04:00:00Z,IMOS / AIMS / QDAF FADs,FAD5,153.57,-27.1,15,NA,NA,NA,YES
274708586,VR2W-102570,James Cook University,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2022-06-21T00:00:00Z,IMOS Coastal Array Queensland,South Trees (Gladstone),151.32,-23.85,13,NA,NA,NA,YES
276672390,VR2W-136072,Australian Institute of Marine Science,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2022-06-16T04:30:00Z,IMOS / AIMS / QDAF FADs,FAD10,153.37,-25.88,15,NA,NA,NA,YES
276672405,VR2W-136077,Australian Institute of Marine Science,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2022-06-15T21:00:00Z,IMOS / AIMS / QDAF FADs,FAD 1 (Fraser Island),153.1,-24.81,15,NA,NA,NA,YES
276672408,VR2W-102025,IMOS Animal Tracking Facility,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2022-06-15T07:00:00Z,IMOS / AIMS / QDAF FADs,FAD 2 (Fraser Island),153.41,-24.63,15,NA,NA,NA,YES
274684641,VR2W-101727,IMOS Animal Tracking Facility,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2022-06-15T02:20:00Z,IMOS Coastal Array Queensland,Lady Elliot Reef MMP,146.33,-18.68,5,NA,NA,NA,YES
282576798,VR2W-136062,Australian Institute of Marine Science,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2022-06-14T21:00:00Z,IMOS / AIMS / QDAF FADs,FAD 3 (Fraser Island),153.54,-24.97,15,NA,NA,NA,YES
276672396,VR2W-114533,IMOS Animal Tracking Facility,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2022-06-09T04:00:00Z,IMOS / AIMS / QDAF FADs,FAD12B,153.63,-27.92,15,NA,NA,NA,YES
276672399,VR2W-114685,Ocean Tracking Network,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2022-06-09T03:15:00Z,IMOS / AIMS / QDAF FADs,FAD12C,153.64,-27.92,15,NA,NA,NA,YES
276672372,VR2W-104401,James Cook University,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2022-06-07T02:30:00Z,IMOS / AIMS / QDAF FADs,FAD1,153.53,-27.99,15,NA,NA,NA,YES
274708583,VR2W-102554,Biopixel Oceans Foundation,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2022-06-07T00:00:00Z,IMOS Coastal Array Queensland,Barney Point Wharf (GPC) (Gladstone),151.27,-23.84,13.5,NA,NA,NA,YES
276672377,VR2W-120741,IMOS Animal Tracking Facility,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2022-06-06T23:00:00Z,IMOS / AIMS / QDAF FADs,FAD2,153.75,-27.93,15,NA,NA,NA,YES
276672393,VR2W-114704,IMOS Animal Tracking Facility,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2022-06-06T22:00:00Z,IMOS / AIMS / QDAF FADs,FAD 12,153.64,-27.93,15,NA,NA,NA,YES
276672380,VR2W-102586,James Cook University,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2022-06-06T22:00:00Z,IMOS / AIMS / QDAF FADs,FAD3,153.62,-27.81,15,NA,NA,NA,YES
259251239,VR2W-107810,Australian Institute of Marine Science,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2022-06-03T00:00:00Z,IMOS Coastal Array Queensland,Orpheus - Fantome Pass,146.51,-18.65,16.5,NA,NA,NA,YES
276672402,VR2W-125669,James Cook University,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2022-06-02T01:00:00Z,IMOS / AIMS / QDAF FADs,FAD7B,153.31,-26.57,15,NA,NA,NA,YES
259251242,VR2W-102591,James Cook University,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2022-05-31T00:00:00Z,IMOS Coastal Array Queensland,Holbourn (Bowen),148.36,-19.73,9,NA,NA,NA,YES
259248754,VR2Tx-484027,IMOS Animal Tracking Facility,IMOS-ATF One Tree Island,DEPLOYED,2022-05-29T03:58:00Z,IMOS-ATF One Tree Island,OT 3,152.08,-23.48,12.3,NA,NA,NA,YES
259248766,VR2Tx-484010,IMOS Animal Tracking Facility,IMOS-ATF One Tree Island,DEPLOYED,2022-05-29T03:36:00Z,IMOS-ATF One Tree Island,OT 2,152.05,-23.49,16.3,NA,NA,NA,YES
259248763,VR2Tx-483940,IMOS Animal Tracking Facility,IMOS-ATF One Tree Island,DEPLOYED,2022-05-29T02:52:00Z,IMOS-ATF One Tree Island,OT 1,152.04,-23.51,8.1,NA,NA,NA,YES
259248760,VR2Tx-484030,IMOS Animal Tracking Facility,IMOS-ATF One Tree Island,DEPLOYED,2022-05-29T01:34:00Z,IMOS-ATF One Tree Island,OT 7,152.06,-23.51,13.6,NA,NA,NA,YES
259248757,VR2Tx-484785,IMOS Animal Tracking Facility,IMOS-ATF One Tree Island,DEPLOYED,2022-05-29T00:43:00Z,IMOS-ATF One Tree Island,OT 5,152.09,-23.51,18.6,NA,NA,NA,YES
259248748,VR2Tx-483961,IMOS Animal Tracking Facility,IMOS-ATF Heron Island,DEPLOYED,2022-05-28T01:47:00Z,IMOS-ATF Heron Island,Heron E1,152,-23.44,8,NA,NA,NA,YES
259248751,VR2Tx-484045,IMOS Animal Tracking Facility,IMOS-ATF Heron Island,DEPLOYED,2022-05-28T01:14:00Z,IMOS-ATF Heron Island,S Heron,151.98,-23.47,15,NA,NA,NA,YES
259248733,VR2Tx-484028,IMOS Animal Tracking Facility,IMOS-ATF Heron Island,DEPLOYED,2022-05-28T00:23:00Z,IMOS-ATF Heron Island,HER 15,151.95,-23.47,16,NA,NA,NA,YES
259251260,VR2AR-549820,QLD Department of Agriculture and Fisheries,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2022-05-27T15:00:00Z,Whitsundays,Cid Harbour 5,140.94,-20.26,12,NA,NA,NA,YES
259248742,VR2Tx-484029,IMOS Animal Tracking Facility,IMOS-ATF Heron Island,DEPLOYED,2022-05-26T03:34:00Z,IMOS-ATF Heron Island,HER 18,151.91,-23.45,15,NA,NA,NA,YES
259248745,VR2Tx-484035,IMOS Animal Tracking Facility,IMOS-ATF Heron Island,DEPLOYED,2022-05-26T02:49:00Z,IMOS-ATF Heron Island,HER 19,151.9,-23.44,9.5,NA,NA,NA,YES
259248739,VR2Tx-484022,IMOS Animal Tracking Facility,IMOS-ATF Heron Island,DEPLOYED,2022-05-26T02:26:00Z,IMOS-ATF Heron Island,HER 21,151.93,-23.43,19.5,NA,NA,NA,YES
259248736,VR2Tx-484782,IMOS Animal Tracking Facility,IMOS-ATF Heron Island,DEPLOYED,2022-05-25T15:33:00Z,IMOS-ATF Heron Island,HER 24,151.98,-23.44,10.8,NA,NA,NA,YES
259251330,VR2W-125667,James Cook University,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2022-05-24T15:22:00Z,IMOS Coastal Array Queensland,Yongala Wreck,147.62,-19.3,29,NA,NA,NA,YES
259225117,VR2W-136085,Australian Institute of Marine Science,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2022-05-19T02:30:00Z,IMOS Coastal Array Queensland,Peel Island,153.35,-27.47,9.1,NA,NA,NA,YES
259225114,VR2W-109093,Australian Institute of Marine Science,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2022-05-17T01:00:00Z,IMOS Coastal Array Queensland,Mud Island,153.24,-27.32,6.72,NA,NA,NA,YES
259225120,VR2W-136069,Australian Institute of Marine Science,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2022-05-16T22:45:00Z,IMOS Coastal Array Queensland,Scott's Point,153.11,-27.28,4.65,NA,NA,NA,YES
259251274,VR2Tx-481314,James Cook University,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2022-05-16T15:08:00Z,Whitsundays,Hook 2,148.9,-20.16,5,NA,NA,NA,YES
259251266,VR2W-103925,James Cook University,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2022-05-16T15:03:00Z,Whitsundays,Hook 1,148.92,-20.17,5,NA,NA,NA,YES
259251256,VR2AR-549823,QLD Department of Agriculture and Fisheries,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2022-05-16T14:59:00Z,Whitsundays,Cid Harbour 4,148.94,-20.24,17,NA,NA,NA,YES
259251252,VR2AR-548502,James Cook University,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2022-05-16T14:58:00Z,Whitsundays,Cid Harbour 3,148.93,-20.25,12,NA,NA,NA,YES
