"; PTT 47622, Serial 17P0810, Run 8 - 0.25&deg; Grid Size @ 29-Dec-2020 13:29"
"; Marine @ 3.0 meters/second, Model Score 48.29"
"; 281 Twilights, 133 SSTs, 1 User Locations"
"; SST Reference Data Set: NOAA OI SST V2 High Resolution, Bathymetry Reference Data Set: ETOPO1-Bedrock"

DeployID,Ptt,Date,Most Likely Latitude,Most Likely Longitude,Observation Type,Observed SST,Satellite SST,Observed Depth,Bathymetry Depth,Observation LL (MSS),Observation Score,Sunrise,Sunset
47622_BSH_F,47622,27-Feb-2019 04:47:30,-20.575,-160.25,Light - Dusk,,,208,4857,,0.1,,
47622_BSH_F,47622,27-Feb-2019 12:00:00,-20.575,-160.275,None,,,,,,,,
47622_BSH_F,47622,27-Feb-2019 16:05:00,-20.575,-160.3,Light - Dawn,,,176,4857,,89.9998728044659,,
47622_BSH_F,47622,28-Feb-2019 00:00:00,-20.55,-160.275,None,,,,,,,28-Feb-2019 16:38:06,01-Mar-2019 05:08:45
47622_BSH_F,47622,28-Feb-2019 04:40:00,-20.525,-160.3,Light - Dusk,,,176,4857,,61.2482788870134,,
47622_BSH_F,47622,28-Feb-2019 12:00:00,-20.45,-160.275,None,,,,,,,,
47622_BSH_F,47622,28-Feb-2019 13:00:00,-20.45,-160.275,SST,28.7,28.5404155254364,4,4876,,77.4874763102882,,
47622_BSH_F,47622,28-Feb-2019 15:10:00,-20.425,-160.275,Light - Dawn,,,240,4876,,42.7489425557537,,
47622_BSH_F,47622,01-Mar-2019 00:00:00,-20.375,-160.325,None,,,,,,,01-Mar-2019 16:38:48,02-Mar-2019 05:08:03
47622_BSH_F,47622,01-Mar-2019 04:53:45,-20.275,-160.35,Light - Dusk,,,144,4876,,0.1,,
47622_BSH_F,47622,01-Mar-2019 12:00:00,-20.125,-160.425,None,,,,,,,,
47622_BSH_F,47622,01-Mar-2019 15:00:00,-20.075,-160.475,SST,29,28.7974998950958,0,4859,,78.1737898474103,,
47622_BSH_F,47622,01-Mar-2019 15:47:30,-20.075,-160.475,Light - Dawn,,,176,4859,,87.0559341813836,,
47622_BSH_F,47622,02-Mar-2019 00:00:00,-19.925,-160.625,None,,,,,,,02-Mar-2019 16:40:39,03-Mar-2019 05:08:13
47622_BSH_F,47622,02-Mar-2019 04:22:30,-19.875,-160.675,Light - Dusk,,,208,4890,,51.8447201344752,,
47622_BSH_F,47622,02-Mar-2019 12:00:00,-19.675,-160.625,None,,,,,,,,
47622_BSH_F,47622,02-Mar-2019 15:58:45,-19.6,-160.575,Light - Dawn,,,176,5013,,11.0745076235218,,
47622_BSH_F,47622,02-Mar-2019 16:00:00,-19.6,-160.575,SST,29.2,28.896666208903,0,5013,,70.6300346768003,,
47622_BSH_F,47622,03-Mar-2019 00:00:00,-19.45,-160.75,None,,,,,,,03-Mar-2019 16:41:47,04-Mar-2019 05:07:40
47622_BSH_F,47622,03-Mar-2019 05:03:45,-19.35,-160.85,Light - Dusk,,,176,5188,,66.6686534099718,,
47622_BSH_F,47622,03-Mar-2019 12:00:00,-19.2,-160.925,None,,,,,,,,
47622_BSH_F,47622,03-Mar-2019 15:58:45,-19.1,-160.975,Light - Dawn,,,176,5028,,55.8002649602504,,
47622_BSH_F,47622,03-Mar-2019 16:00:00,-19.1,-160.975,SST,29.3,28.986665725708,0,5028,,68.9744160388429,,
47622_BSH_F,47622,04-Mar-2019 00:00:00,-18.975,-161.025,None,,,,,,,04-Mar-2019 16:43:28,05-Mar-2019 05:07:45
47622_BSH_F,47622,04-Mar-2019 04:45:00,-18.875,-161.075,Light - Dusk,,,176,5241,,36.7706715702332,,
47622_BSH_F,47622,04-Mar-2019 12:00:00,-18.65,-160.9,None,,,,,,,,
