DeployID,PTT,Latitude,Longitude,Loc.Class,Loc.type,Loc.DateTime,Error.Radius,Semi-major.Axis,Semi-minor.Axis,Ellipse.Orientation
M-130,13596,2.3949,73.3491333,3,Argos,2017-03-28 20:30:00,130,262,64,104
M-130,13596,2.396666667,73.36305556,2,Argos,2017-03-30 10:10:16,349,1653,73,75
M-130,13596,2.408333333,73.365,B,Argos,2017-03-31 06:54:54,2788,2868,2709,82
M-130,13596,2.3949,73.3491333,3,Argos,2017-04-04 19:40:00,147,403,53,68
M-130,13596,2.425555556,73.34472222,3,Argos,2017-04-05 07:37:12,189,958,37,111
M-130,13596,2.32,73.24083333,B,Argos,2017-04-07 08:51:29,870,4027,188,101
M-130,13596,2.306666667,73.25944444,B,Argos,2017-04-09 14:44:28,504,511,497,147
M-130,13596,2.415,73.27638889,B,Argos,2017-04-14 20:32:30,870,4027,188,101
M-130,13596,2.381944444,73.20944444,2,Argos,2017-04-14 20:43:05,349,1653,73,75
M-130,13596,2.374722222,73.21361111,2,Argos,2017-04-15 19:23:08,253,329,194,156
M-130,13596,2.37,73.2075,1,Argos,2017-04-15 19:47:22,555,1527,201,118
M-130,13596,2.37,73.22277778,1,Argos,2017-04-15 20:16:03,555,1527,201,118
M-130,13596,2.37,73.22277778,B,Argos,2017-04-15 20:18:04,2788,2868,2709,82
M-130,13596,2.368611111,73.20944444,B,Argos,2017-04-16 19:21:14,400,1893,84,32
M-130,13596,2.368055556,73.20972222,B,Argos,2017-04-16 22:27:25,2788,2868,2709,82
M-130,13596,2.417222222,73.14611111,B,Argos,2017-04-17 17:22:59,2200,3876,1248,115
M-130,13596,2.4075,73.14638889,3,Argos,2017-04-17 21:18:36,130,262,64,104
M-130,13596,2.407777778,73.14472222,B,Argos,2017-04-17 22:08:10,504,511,497,147
M-130,13596,2.3875,73.35194444,2,Argos,2017-04-20 19:20:46,483,1919,121,80
M-130,13596,2.385555556,73.34916667,1,Argos,2017-04-20 19:24:01,555,1527,201,118
M-130,13596,2.346666667,73.19555556,1,Argos,2017-04-23 19:48:38,555,1527,201,118
M-130,13596,2.343333333,73.19888889,B,Argos,2017-04-23 22:26:58,504,511,497,147
M-130,13596,2.342222222,73.215,B,Argos,2017-04-24 22:16:19,734,3247,166,65
M-130,13596,2.385833333,73.17472222,B,Argos,2017-04-25 20:04:53,2200,3876,1248,115
M-130,13596,2.385833333,73.17333333,B,Argos,2017-04-25 20:11:44,504,511,497,147
M-130,13596,2.368055556,73.1125,B,Argos,2017-04-25 22:43:44,400,1893,84,32
M-130,13596,2.385,73.1775,B,Argos,2017-04-28 19:19:52,870,4027,188,101
M-130,13596,2.391388889,73.17555556,B,Argos,2017-04-28 19:19:52,870,4027,188,101
M-130,13596,2.384166667,73.17361111,B,Argos,2017-04-28 19:36:36,2200,3876,1248,115
M-130,13596,2.361111111,73.17444444,A,Argos,2017-04-28 20:51:28,595,1072,330,0
M-130,13596,2.352777778,73.19361111,1,Argos,2017-04-29 21:26:25,555,1527,201,118
M-130,13596,2.44498,72.9458,3,Argos,2017-05-07 03:11:30,150,379,59,56
M-130,13596,2.44498,72.9458,3,Argos,2017-05-07 03:11:30,189,958,37,111
M-130,13596,2.40944,72.80304,B,Argos,2017-05-08 18:30:35,2788,2868,2709,82
M-130,13596,2.68885,72.86739,B,Argos,2017-05-09 06:07:08,2788,2868,2709,82
M-130,13596,2.76186,73.04384,A,Argos,2017-05-09 06:19:44,179,229,140,5
M-130,13596,2.76388,73.02415,3,Argos,2017-05-09 07:09:11,130,262,64,104
M-130,13596,2.76914,73.01739,B,Argos,2017-05-09 08:00:11,2788,2868,2709,82
M-130,13596,2.91319,73.04845,1,Argos,2017-05-09 18:34:45,555,1527,201,118
M-130,13596,2.91633,73.04658,B,Argos,2017-05-09 19:00:18,2788,2868,2709,82
M-130,13596,2.91041,73.03963,B,Argos,2017-05-09 19:46:55,2788,2868,2709,82
M-130,13596,3.12417,72.98247,B,Argos,2017-05-10 08:58:43,2788,2868,2709,82
M-130,13596,3.32604,72.89236,1,Argos,2017-05-11 18:40:49,508,1215,212,29
M-130,13596,3.34258,72.92181,B,Argos,2017-05-11 19:06:01,2788,2868,2709,82
M-130,13596,3.3184,72.85765,1,Argos,2017-05-12 18:40:18,604,1364,267,159
M-130,13596,3.31653,72.85353,3,Argos,2017-05-12 18:46:58,130,262,64,104
M-130,13596,3.23724,72.90106,1,Argos,2017-05-14 19:26:50,604,1364,267,159
