receiver_deployment_id,receiver_name,purchasing_organisation,receiver_project_name,receiver_status,receiver_deployment_datetime,installation_name,station_name,receiver_deployment_longitude,receiver_deployment_latitude,depth_below_surface,receiver_recovery_datetime,receiver_recovery_longitude,receiver_recovery_latitude,active
283143369,VR2AR-547907,Flinders University,IMOS-ATF South Australian Acoustic Tracking Network,DEPLOYED,2022-09-18 22:55:00,Remote offshore islands (incl. Pearson/Flinders islands),South Pages Island,138.29,-35.77,16.0,,,,YES
283143366,VR2AR-547910,Flinders University,IMOS-ATF South Australian Acoustic Tracking Network,DEPLOYED,2022-09-18 22:20:00,Remote offshore islands (incl. Pearson/Flinders islands),North Pages Island,138.3,-35.76,13.0,,,,YES
283792505,VR2Tx-484789,IMOS Animal Tracking Facility,IMOS Moorings receiver deployments,DEPLOYED,2022-09-13 22:15:00,IMOS NSW Moorings,BMP070 Narooma ADCP,150.19,-36.19,67.0,,,,YES
283792526,VR2Tx-484036,IMOS Animal Tracking Facility,IMOS Moorings receiver deployments,DEPLOYED,2022-09-13 20:40:00,IMOS NSW Moorings,BMP120 Narooma ADCP,150.32,-36.21,112.0,,,,YES
283143724,VR2AR-545592,IMOS Animal Tracking Facility,IMOS-ATF Portland Line,DEPLOYED,2022-09-07 00:56:00,IMOS-ATF Portland Line,PTLD1,141.37,-38.39,19.0,,,,YES
283143727,VR2AR-545643,IMOS Animal Tracking Facility,IMOS-ATF Portland Line,DEPLOYED,2022-09-07 00:50:00,IMOS-ATF Portland Line,PTLD2,141.36,-38.39,31.0,,,,YES
283143730,VR2AR-546256,IMOS Animal Tracking Facility,IMOS-ATF Portland Line,DEPLOYED,2022-09-07 00:44:00,IMOS-ATF Portland Line,PTLD3,141.35,-38.39,51.998,,,,YES
283143751,VR2AR-545595,IMOS Animal Tracking Facility,IMOS-ATF Portland Line,DEPLOYED,2022-09-07 00:23:00,IMOS-ATF Portland Line,PTLD10,141.29,-38.4,85.0,,,,YES
283143748,VR2AR-546253,IMOS Animal Tracking Facility,IMOS-ATF Portland Line,DEPLOYED,2022-09-07 00:18:00,IMOS-ATF Portland Line,PTLD9,141.3,-38.4,77.0,,,,YES
283143745,VR2AR-546252,IMOS Animal Tracking Facility,IMOS-ATF Portland Line,DEPLOYED,2022-09-07 00:13:00,IMOS-ATF Portland Line,PTLD8,141.31,-38.4,70.0,,,,YES
283143742,VR2AR-546297,IMOS Animal Tracking Facility,IMOS-ATF Portland Line,DEPLOYED,2022-09-07 00:08:00,IMOS-ATF Portland Line,PTLD7,141.32,-38.4,70.998,,,,YES
283143739,VR2AR-546549,IMOS Animal Tracking Facility,IMOS-ATF Portland Line,DEPLOYED,2022-09-07 00:03:00,IMOS-ATF Portland Line,PTLD6,141.33,-38.39,68.0,,,,YES
283143736,VR2AR-546551,IMOS Animal Tracking Facility,IMOS-ATF Portland Line,DEPLOYED,2022-09-06 23:57:00,IMOS-ATF Portland Line,PTLD5,141.34,-38.39,67.999,,,,YES
283143733,VR2AR-545638,IMOS Animal Tracking Facility,IMOS-ATF Portland Line,DEPLOYED,2022-09-06 23:50:00,IMOS-ATF Portland Line,PTLD4,141.35,-38.39,61.999,,,,YES
283138545,VR2W-102044,Australian Institute of Marine Science,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2022-08-31 20:15:00,IMOS Coastal Array Queensland,Magnetic Island SCP,146.86,-19.11,5.0,,,,YES
283138561,VR2W-103933,James Cook University,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2022-08-31 20:15:00,IMOS Coastal Array Queensland,Nelly Bay Magnetic Island SCP,146.85,-19.17,5.0,,,,YES
282579217,VR2W-113438,James Cook University,JCU North QLD tiger shark tracking,DEPLOYED,2022-08-31 17:26:00,Batt reef,Tongue Reef (NW),145.64,-16.26,8.0,,,,YES
282579398,VR2Tx-484032,IMOS Animal Tracking Facility,IMOS-ATF Cabbage Tree Bay Aquatic Reserve (CTBAR),DEPLOYED,2022-08-31 01:56:00,IMOS-ATF CTBAR,CTBAR NewNorth,151.3,-33.8,8.0,,,,YES
282579395,VR2Tx-484033,IMOS Animal Tracking Facility,IMOS-ATF Cabbage Tree Bay Aquatic Reserve (CTBAR),DEPLOYED,2022-08-31 01:02:00,IMOS-ATF CTBAR,CTBAR Outside NEW,151.31,-33.8,26.0,,,,YES
282579386,VR2AR-548532,IMOS Animal Tracking Facility,IMOS-ATF Sydney Gate,DEPLOYED,2022-08-31 00:25:00,IMOS-ATF Sydney Gate,SG 1,151.29,-33.84,25.5,,,,YES
282576761,VR2W-103927,James Cook University,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2022-08-21 23:30:00,IMOS / AIMS / QDAF FADs,FAD7,153.33,-26.6,15.0,,,,YES
282576755,VR2W-103682,James Cook University,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2022-08-18 00:30:00,IMOS / AIMS / QDAF FADs,FAD4,153.63,-27.28,15.0,,,,YES
282576792,VR2W-109088,IMOS Animal Tracking Facility,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2022-08-15 03:00:00,IMOS / AIMS / QDAF FADs,FAD8,153.57,-26.54,15.0,,,,YES
282576765,VR2W-107568,The University of Queensland,IMOS / AIMS Acoustic Telemetry Array Queensland,DEPLOYED,2022-08-14 23:30:00,IMOS / AIMS / QDAF FADs,FAD9,153.33,-26.26,15.0,,,,YES
276672733,VR2AR-545666,Flinders University,IMOS-ATF South Australian Acoustic Tracking Network,DEPLOYED,2022-08-08 04:24:00,Flinders Uni White Shark Cage Diving Industry Monitoring,St02,136.07,-35.23,23.0,,,,YES
276672736,VR2AR-547908,Flinders University,IMOS-ATF South Australian Acoustic Tracking Network,DEPLOYED,2022-08-08 04:14:00,Flinders Uni White Shark Cage Diving Industry Monitoring,St10,136.07,-35.23,9.0,,,,YES
