transmitter_id,transmitter_serial_number,tagging_project_name,transmitter_type,transmitter_sensor_type,transmitter_sensor_slope,transmitter_sensor_intercept,transmitter_sensor_unit,transmitter_estimated_battery_life,transmitter_status,transmitter_deployment_id,species_common_name,species_scientific_name,animal_sex,placement,transmitter_deployment_locality,transmitter_deployment_latitude,transmitter_deployment_longitude,transmitter_deployment_datetime,transmitter_deployment_comments,embargo_date,transmitter_recovery_datetime,transmitter_recovery_latitude,transmitter_recovery_longitude
A69-9001-12551,1277220,"NSW DPI (Whaler, White and Tiger Shark Program)",V16,PINGER,,,,3650,DEPLOYED,135809298,Bull Shark,Carcharhinus leucas,MALE,EXTERNAL,"Croki, Manning river",-31.87,152.6,2018-12-24 15:00:03,,2021-12-24 13:00:00,,,
A69-9001-12279,1278659,"NSW DPI (Whaler, White and Tiger Shark Program)",V16,PINGER,,,,3650,DEPLOYED,135286511,Bull Shark,Carcharhinus leucas,FEMALE,EXTERNAL,"South Ballina Beach, Ballina",-28.88,153.58,2018-05-03 07:31:37,,2021-05-03 07:31:37,,,
A69-9001-12950,1275572,"NSW DPI (Whaler, White and Tiger Shark Program)",V16,PINGER,,,,3650,DEPLOYED,132818171,Bull Shark,Carcharhinus leucas,FEMALE,INTERNAL,"Sharpes Beach, Ballina",-28.84,153.61,2018-01-22 05:04:51,,2021-01-22 05:04:51,,,
A69-9001-14263,1268713,"NSW DPI (Whaler, White and Tiger Shark Program)",V16,PINGER,,,,3650,DEPLOYED,132795380,Bull Shark,Carcharhinus leucas,FEMALE,INTERNAL,"Richmond River, Ballina",-28.88,153.57,2017-11-29 10:47:25,,2020-11-29 10:47:25,,,
A69-9001-14269,1268719,"NSW DPI (Whaler, White and Tiger Shark Program)",V16,PINGER,,,,3650,DEPLOYED,132795394,Bull Shark,Carcharhinus leucas,FEMALE,INTERNAL,"Richmond River, Ballina",-28.88,153.57,2017-11-28 14:09:11,,2020-11-28 14:09:11,,,
A69-9001-14270,1268720,"NSW DPI (Whaler, White and Tiger Shark Program)",V16,PINGER,,,,3650,DEPLOYED,132795217,Bull Shark,Carcharhinus leucas,FEMALE,INTERNAL,Belligen River,-30.49,153.03,2017-11-23 09:57:03,,2020-11-23 09:57:03,,,
A69-9001-14230,1268680,"NSW DPI (Whaler, White and Tiger Shark Program)",V16,PINGER,,,,3650,DEPLOYED,132795182,Bull Shark,Carcharhinus leucas,FEMALE,INTERNAL,Belligen River,-30.45,153.03,2017-11-20 13:12:16,,2020-11-20 13:12:16,,,
A69-9001-18784,1241634,"NSW DPI (Whaler, White and Tiger Shark Program)",V16,PINGER,,,,3650,DEPLOYED,132795164,Bull Shark,Carcharhinus leucas,FEMALE,INTERNAL,Belligen River,-30.45,153.01,2017-11-20 11:50:12,,2020-11-20 11:50:12,,,
A69-9001-18757,1241607,"NSW DPI (Whaler, White and Tiger Shark Program)",V16,PINGER,,,,3650,DEPLOYED,132737795,Bull Shark,Carcharhinus leucas,MALE,INTERNAL,"Richmond River, Ballina",-28.88,153.57,2017-02-23 16:00:08,,2020-02-23 16:00:08,,,
A69-9001-18755,1241605,"NSW DPI (Whaler, White and Tiger Shark Program)",V16,PINGER,,,,3650,DEPLOYED,132737788,Bull Shark,Carcharhinus leucas,MALE,INTERNAL,"Richmond River, Ballina",-28.87,153.58,2017-02-23 15:06:16,,2020-02-23 15:06:16,,,
A69-9001-18753,1241603,"NSW DPI (Whaler, White and Tiger Shark Program)",V16,PINGER,,,,3650,DEPLOYED,132730867,Bull Shark,Carcharhinus leucas,MALE,INTERNAL,"Richmond River, Ballina",-28.88,153.57,2017-02-23 11:22:03,,2020-02-23 11:22:03,,,
A69-9001-18831,1241681,"NSW DPI (Whaler, White and Tiger Shark Program)",V16,PINGER,,,,3650,DEPLOYED,132730834,Bull Shark,Carcharhinus leucas,FEMALE,INTERNAL,"Kalang River, Coffs Harbour",-30.49,153.02,2017-02-16 09:46:02,,2020-02-16 09:46:02,,,
A69-9001-18767,1241617,"NSW DPI (Whaler, White and Tiger Shark Program)",V16,PINGER,,,,3650,DEPLOYED,130722980,Bull Shark,Carcharhinus leucas,MALE,INTERNAL,Mylestom,-30.46,152.99,2016-12-19 12:28:00,,2019-12-19 12:28:00,,,
A69-9001-18829,1241679,"NSW DPI (Whaler, White and Tiger Shark Program)",V16,PINGER,,,,3650,DEPLOYED,130722974,Bull Shark,Carcharhinus leucas,FEMALE,INTERNAL,"Manning river, Croki",-31.88,152.59,2016-12-13 15:16:00,,2019-12-13 15:16:00,,,
A69-9001-20473,1227625,"NSW DPI (Whaler, White and Tiger Shark Program)",V16,PINGER,,,,3650,DEPLOYED,130722688,Bull Shark,Carcharhinus leucas,FEMALE,INTERNAL,"Harrington, Manning River",-31.89,152.66,2016-03-07 11:51:00,,2019-03-07 11:51:00,,,
